6114065395|-41.2822188|173.2698848
6104877044|-41.312303|173.218781
5532971914|-41.2792038|173.2861593
6104541481|-41.3238693|173.2302559
6079187008|-41.2733329|173.2748133
5930848760|-41.294205|173.270672
6101420908|-41.2834694|173.2800215
6012638172|-41.2679721|173.2936836
5888774859|-41.2700586|173.292969
5750958235|-41.2778095|173.3009096
6077521522|-41.2750493|173.2947084
6031028205|-41.2867723|173.2514012
5906761703|-41.3281912|173.2404125
5941032933|-41.2232077|173.3248395
5788310112|-41.2778637|173.289933
5766783417|-41.2387649|173.3220079
5920402562|-41.2782041|173.2775076
5969731326|-41.2791868|173.2752959
